== F1-05 probe (Stage 1 建档闭环, protocol level) | 2026-09-09T23:06:14+08:00 | port=5199 | budget=180s ==
-- started vite PID=439254 on 5199 (user 5173 untouched) --
[C0] PASS  vite dev server reachable on dedicated port 5199 | expected=yes actual=yes
[A1] PASS  reset ok | expected=true actual=true
[A2] PASS  reset seed=empty | expected=empty actual=empty
[A3] PASS  reset has_profile=false | expected=false actual=false
[A4] PASS  reset drafts=0 | expected=0 actual=0
[A5] PASS  empty seed context_version=0 | expected=0 actual=0
[A6] PASS  GET /api/profile profile=null (未建档) | expected=null actual=null
[A7] PASS  GET /api/profile restrictions=[] | expected=0 actual=0
[A8] PASS  GET /api/profile context_version=0 | expected=0 actual=0
[A9] PASS  GET /api/records empty | expected=0 actual=0
[A10] PASS  GET /api/sessions empty (bare array) | expected=0 actual=0
[B1] PASS  PUT api-key -> has_api_key=true (no plaintext) | expected=true actual=true
[B2] PASS  POST /api/sessions returns id | expected=true actual=true
[B3] PASS  sessions count=1 | expected=1 actual=1
[T1a] PASS  POST /api/runs accepted (200) | expected=200 actual=200
[T1b] PASS  run completed | expected=completed actual=completed
[T1c] PASS  no draft generated while facts missing | expected=0 actual=0
[T1d] PASS  reply asks missing fact (训练经验) | expected=true actual=true
[T1e] PASS  reply does not claim a draft | expected=false actual=false
[T1f] PASS  reply does not fabricate default experience | expected=false actual=false
[T1g] PASS  profile still null | expected=null actual=null
[T2a] PASS  run completed | expected=completed actual=completed
[T2b] PASS  no draft on red-flag turn | expected=0 actual=0
[T2c] PASS  reply recommends offline professional evaluation | expected=true actual=true
[T2d] PASS  reply states evaluation/assessment | expected=true actual=true
[T2e] PASS  reply records red flag into profile content | expected=true actual=true
[T2f] PASS  reply contains no training prescription markers | expected=false actual=false
[T2g] PASS  dev/status drafts=0 after red-flag turn | expected=0 actual=0
[T2h] PASS  profile still null after red-flag turn | expected=false actual=false
[T3a] PASS  run completed | expected=completed actual=completed
[T3b] PASS  exactly one draft | expected=1 actual=1
[T3c] PASS  draft kind=profile_update | expected=profile_update actual=profile_update
[T3d] PASS  draft status=pending | expected=pending actual=pending
[T3e] PASS  draft revision=1 | expected=1 actual=1
[T3f] PASS  draft base_business_version=0 (empty seed) | expected=0 actual=0
[T3g] PASS  payload goal | expected=增肌（肌肥大） actual=增肌（肌肥大）
[T3h] PASS  payload experience | expected=初级（有少量训练经验） actual=初级（有少量训练经验）
[T3i] PASS  payload weekly_frequency=3 | expected=3 actual=3
[T3j] PASS  payload session_minutes=60 | expected=60 actual=60
[T3k] PASS  payload body_weight_kg=75 (required field) | expected=75 actual=75
[T3l] PASS  payload equipment collected | expected=true actual=true
[T3m] PASS  payload red flag recorded in profile draft | expected=true actual=true
[T3n] PASS  payload restrictions count=1 | expected=1 actual=1
[T3o] PASS  restriction scope=specific_action | expected=specific_action actual=specific_action
[T3p] PASS  server-derived diff non-empty (new profile) | expected=true actual=true
[T3q] PASS  diff carries weight field row | expected=true actual=true
