== Stage1 gap probe | 2026-09-09T23:08:15+08:00 | port=5199 | budget=180s ==
-- vite PID=446774 on 5199 --
[C0] PASS  vite reachable | expected=yes actual=yes
[G1a] PASS  red flag reply recommends offline eval | expected=true actual=true
[G1b] PASS  red flag turn: no draft | expected=0 actual=0
[G1c] PASS  unlisted symptom -> clarifies, no safety verdict | expected=true actual=true
[G1d] PASS  draft generated | expected=1 actual=1
[G1e] PASS  REQUIREMENT: earlier red flag retained in draft | expected=true actual=true
G1 observed red_flags in draft = ["胸部异常不适"]
[G2a] PASS  control: red flag retained after explicit none | expected=true actual=true
[G3a] PASS  check-in reply says not available this stage | expected=true actual=true
[G3b] PASS  check-in turn: no draft | expected=0 actual=0
[G3c] PASS  check-in reply does not claim plan is prerequisite for records | expected=false actual=false
[G3d] PASS  records unchanged (no record written) | expected=0 actual=0
[G4a] PASS  asks experience next | expected=true actual=true
[G4b] PASS  asks weekly_frequency next | expected=true actual=true
[G4c] PASS  asks session_minutes next | expected=true actual=true
[G4d] PASS  asks equipment next | expected=true actual=true
[G4e] PASS  asks body_weight next (required) | expected=true actual=true
[G4f] PASS  asks restrictions next | expected=true actual=true
[G4g] PASS  asks physical_state next | expected=true actual=true
[G4h] PASS  still no draft before physical_state | expected=0 actual=0
[G4i] PASS  draft after final fact | expected=1 actual=1
[G5a] PASS  negated red flag: no offline-eval block | expected=false actual=false
[G5b] PASS  negated red flag: no red-flag record | expected=false actual=false
[G6a] PASS  two restrictions | expected=2 actual=2
[G6b] PASS  specific_action scope present | expected=true actual=true
[G6c] PASS  movement_pattern scope present | expected=true actual=true
[G6d] PASS  no restriction lifecycle/state field (name/scope/note only) | expected=false actual=false
G6 restrictions = [{"name":"杠铃颈后推举","scope":"specific_action","note":"目标增肌，有一点基础，每周练3次，每次60分钟，有哑铃，体重75公斤，颈后推举肩部不适，深蹲膝部不适，没有这些情况"},{"name":"深蹲","scope":"movement_pattern","note":"目标增肌，有一点基础，每周练3次，每次60分钟，有哑铃，体重75公斤，颈后推举肩部不适，深蹲膝部不适，没有这些情况"}]
[G8a] PASS  same-turn: red flag retained in draft | expected=true actual=true
[G9a] PASS  unlisted-then-red-flag: red flag retained in draft | expected=true actual=true
[G7a] PASS  no draft while equipment unknown | expected=0 actual=0
[G7b] PASS  asks equipment (not silently 'none') | expected=true actual=true
== GAP RESULT: PASS=30 FAIL=0 TOTAL=30 | elapsed=73s ==
--- cleanup at +73s (killed only PID 446774) ---
